,publisher,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec
179,G.P. Putnam's Sons,21.951,16.703,0.036289999999999996,0.04405,1798.7,4.48,22.2,64.9,2.9219999999999997,14.91,47.8
180,G.P. Putnam's Sons,31.479,27.064,0.039619999999999995,0.063306,2771.5,4.23,23.2,78.8,3.4,18.51,59.3
181,G.P. Putnam's Sons,18.105999999999998,23.732,0.032102,0.036572,3016.9,5.045,30.8,61.4,1.992,5.24,16.8
182,G.P. Putnam's Sons,34.022,28.779,0.035676,0.063792,3043.1,4.63,23.4,77.2,3.2960000000000003,18.56,59.5
183,Gauthier-Villars,36.696999999999996,36.256,0.04276,0.075046,4173.1,4.645,29.9,119.4,3.9930000000000003,8.6,27.6
184,Gauthier-Villars,26.045,25.287,0.037933999999999996,0.059448,2873.3,4.74,20.2,52.0,2.575,13.62,43.7
185,Gauthier-Villars,25.988000000000003,32.259,0.050654000000000005,0.06648,3070.9,5.015,23.9,45.9,1.916,6.31,20.2
186,Gauthier-Villars,25.141,23.281,0.042294,0.059688,2341.7,4.96,26.1,59.6,2.2840000000000003,8.3,26.6
187,Gauthier-Villars et fils,31.918000000000003,28.816999999999997,0.043758,0.061684,2253.5,4.465,21.6,136.7,6.325,11.25,36.0
188,Gauthier-Villars et fils,28.993000000000002,27.846,0.035954,0.054928,2558.0,4.285,21.3,72.0,3.389,9.17,29.4
189,Gauthier-Villars et fils,32.86,32.867,0.043956,0.065084,2241.9,4.44,26.8,78.0,2.911,9.42,30.2
190,Gauthier-Villars et fils,29.576,27.808000000000003,0.039526,0.059488,2120.2,4.4,26.7,61.5,2.305,8.14,26.1
191,Gauthier-Villars et fils,45.787,42.082,0.055028,0.095718,2826.6,4.77,28.7,124.3,4.327,14.35,46.0
192,George A. Bates,16.79,13.942,0.029160000000000002,0.03119,1902.5,4.56,21.4,55.4,2.5860000000000003,16.79,53.8
193,George A. Bates,18.206,15.964,0.041822000000000005,0.03942,1619.0,4.565,28.7,85.4,2.978,20.12,64.5
194,George A. Bates,19.387999999999998,18.678,0.025374,0.03216,2877.4,4.39,17.8,47.0,2.642,21.27,68.2
195,George A. Bates,21.086,20.198,0.041201999999999996,0.045526,4075.4,4.73,23.0,61.2,2.657,18.69,59.9
196,George A. Bates,20.386,18.671,0.036142,0.046164,2057.8,4.625,31.5,78.9,2.501,20.45,65.6
197,George H. Doran Company,27.421,17.065,0.039636000000000005,0.046624,2282.8,5.13,32.9,86.3,2.6260000000000003,11.93,38.2
198,George H. Doran Company,20.452,10.106,0.033388,0.03503,1380.1,5.09,30.3,93.8,3.1,8.41,27.0
199,George H. Doran Company,27.022,17.369,0.033298,0.049276,2156.8,4.835,23.2,73.4,3.16,15.49,49.6
200,George H. Doran Company,26.925,15.315,0.041876,0.045474,1548.6,5.375,23.9,74.3,3.105,14.03,45.0
201,George H. Doran Company,29.851,17.602999999999998,0.032412,0.043116,2122.1,5.275,22.2,57.8,2.6060000000000003,15.21,48.8
202,Ginn & Company,24.843000000000004,30.449,0.033777999999999996,0.049306,3640.2,4.59,36.9,87.4,2.3680000000000003,8.8,28.2
203,Ginn & Company,22.866,22.098000000000003,0.03204,0.042218,3670.1,4.465,35.5,85.4,2.406,10.23,32.8
204,Ginn & Company,21.438000000000002,27.513,0.040966,0.045458,4771.0,4.485,33.1,77.1,2.33,7.41,23.7
205,Ginn & Company,23.143,29.006999999999998,0.030080000000000003,0.04244,3597.9,4.275,19.2,99.9,5.199,20.21,64.8
206,Ginn & Company,21.903000000000002,25.333000000000002,0.026114,0.034604,2964.9,4.345,23.7,86.3,3.636,13.53,43.4
207,Ginn & Company,22.326,25.303,0.031206,0.04237,3663.6,4.73,25.9,111.6,4.312,15.25,48.9
208,Ginn & Company,21.061999999999998,27.858,0.033322000000000004,0.04263,3538.7,4.68,20.1,63.7,3.1719999999999997,10.86,34.8
209,Ginn & Company,22.735,25.127,0.03127,0.041546,3202.8,4.615,25.6,67.8,2.6489999999999996,14.01,44.9
210,H. Holt and Co.,15.647,13.850999999999999,0.029084,0.031560000000000005,2492.2,4.875,29.9,91.7,3.069,14.28,45.8
211,H. Holt and Co.,19.011,18.788,0.033204000000000004,0.041176,2628.6,4.99,32.9,95.7,2.9130000000000003,12.14,38.9
212,H. Holt and Co.,25.178,21.278000000000002,0.02853,0.037781999999999996,2937.9,4.71,21.5,68.4,3.173,9.1,29.2
213,H. Holt and Co.,20.026,17.042,0.030907999999999998,0.037048000000000005,2158.6,5.165,29.8,66.4,2.229,10.32,33.1
